filename,cuts_per_minute,mean_loudness,spikes_per_minute,label
Dunkirk - Trailer 1 [HD].mp4,28.105348213553807,0.06786097586154938,7.781540456805247,drama
Eternity _ Official Trailer HD _ A24.mp4,32.36572850124995,0.09339967370033264,19.79821054635446,drama
EVIL DEAD RISE   Official Trailer  2023 _ .mp4,9.460717218724335,0.11658452451229095,24.436707613479605,horror
October _ Official Trailer _ Varun Dhawan _ Banita Sandhu _ Shoojit Sircar.mp4,26.853146853146853,0.1048370897769928,16.362492133417245,drama
"Regretting You _ Official Trailer (2025)- McKenna Grace, Mason Thames, Allison Williams, Dave Franco.mp4",30.38936372269706,0.12266736477613449,38.67403314917127,drama
The Babadook Official Trailer .mp4,28.387167098716724,0.07745026797056198,20.455019828845753,horror
The Raid _ Official US Trailer HD (2011).mp4,38.34885540983508,0.05616564676165581,51.286147946956376,action
Top Gun_ Maverick - Official Trailer (2022) - Paramount Pictures.mp4,25.44518021460536,0.11131848394870758,11.813706929193486,action
videoplayback (1).mp4,43.137585306260014,0.109388567507267,15.784408084696825,action
videoplayback (2).mp4,26.209464939996824,0.10212598741054535,33.38263257975913,horror
videoplayback (3).mp4,30.17841971112999,0.06660757958889008,30.57272912561995,drama
videoplayback.mp4,58.48609880041381,0.062211960554122925,24.561978057966268,action
Weapons _ Official Trailer.mp4,25.53967771359076,0.12716516852378845,32.835302293259204,horror
